#Jellyfish(all)100702.txt
#http://forum.enjoysudoku.com/a-pure-jellyfish-collection-t5776.html
#Puzzle,Label,Score,JF>=
7...2......1..9.6..8.4..2....6....5.9.......1.3....7....2..6.9..4.7..8......3...6,W4-tarek-001,4,1
7...6......3..1.8..2.7..6....8....4.1.......3.9....2....6..8.1..5.2..7......7...8,W4-tarek-002,7,1
6...7......1..5.3..2.4..6....3....1.9.......2.4....7....9..3.5..7.6..9......1...3,W4-tarek-003,8,1
...197....4.....7...9...3..8...3...27..9.2..43...6...1..2...4...1.....9....524...,W4-tarek-004,7,1
.5.....7.2.......6...456.....7.3.4....65.12....9.7.1.....812...9.......5.1.....2.,W4-tarek-005,7,1
.4..28.7187.6...2............48..26...1.4.9...86..24............6...9.4313.27..9.,W4-daj95376-001,7,1
2....358.....2...1...4.56.....9.4.68..5.1.9..61.8.2.....15.8...3...4.....263....4,W4-daj95376-002,7,1
.......63..763.48...3..8..1.3...41.5.1..8..3.5.63...7.2..7..3...74.562..65.......,W4-daj95376-003,6,1
4..2.7.8...3..85.6.786...4.2.....61.....2.....17.....4.5...346.6.15..2...3.1.2..8,W4-daj95376-004,6,1
1.........2.345.....5...4...6.7...3..8..1..5..1...9.4...7...5.....283.6.........8,W4-TTHsieh-001,3,1
..3..4..9....7..5.2..6..8....9.....4.4.....3.8.....7....4..3..2.2..6....7..8..6..,W4-tarek-006,8,2
.......1....8.9257.2....9...829.1.45.47.8.19.19.4.372...1....8.9381.5....5.......,W4-daj95376-005,6,1
...........1...2..34..5..67.........15.2.3.7883.....41.........42.7.8.5671.....83,W4-Mauricio-001,8,1
.............1.....123.456...........23...78..47.6.12...........318.764..58...23.,W4-Mauricio-002,8,1
.............1.....123.456...........27...38..36.5.42...........682.715..74...83.,W4-Mauricio-003,8,1
.............1.....123.456...........35...78..81.2.35...........57...63..638.721.,W4-Mauricio-004,4,1
2.......3.8..3..5...34.21....12.54......9......93.86....25.69...9..2..7.4.......1,W4-tarek-007,8,1
...........86.59...534.718..39...87.....3.....41...32..143.925...75.14...........,W4-m_b_metcalf-001,4,1
12.....34..3...2..5...6...72..5.4..1..4...5..8..6.1..23...1...5..2...6..65.....28,W4-JPF-004,3,1
1..2.3..4...........2.1.5..4.......3..6.7.8..5.......1..8.5.6...........3..4.9..5,W4-Mauricio-005,3,1
...........47.32...125.937..97...14...........65...93..391.742...12.85...........,W4-m_b_metcalf-002,8,1
.....59...1..4..8.3..6.....2...3.6...3.4.6.7...1.8...9.....3..6.6..7..1...45.....,W4-gsf-001,3,1
